Company Name,Company Ticker,Name,Age,Position,Appointed,
NextEra Energy Inc,NEE,Naren K. Gursahaney,57,Independent Director,2014,
NextEra Energy Inc,NEE,Paul I. Cutler,59,Treasurer,2003,
NextEra Energy Inc,NEE,Rebecca J. Kujawa,43,"Chief Financial Officer, Executive Vice President - Finance",2019,
NextEra Energy Inc,NEE,Rudy E. Schupp,68,Independent Director,2005,
NextEra Energy Inc,NEE,Sherry S. Barrat,69,Independent Director,1998,
NextEra Energy Inc,NEE,Toni Jennings,70,Independent Director,2007,
NextEra Energy Inc,NEE,William H. Swanson,70,Independent Director,2009,
NextEra Energy Inc,NEE,William L. Yeager,60,"Executive Vice President - Engineering, Construction & Integrated Supply Chain",2013,
Nextgen Healthcare Inc,NXGN.O,Betty Rabinowitz,,Chief Medical Officer,2018,
Nextgen Healthcare Inc,NXGN.O,Craig A. Barbarosh,51,Independent Vice Chairman of the Board,2015,
Nextgen Healthcare Inc,NXGN.O,David A. Metcalfe,56,"Executive Vice President, Chief Technology Officer",2016,
Nextgen Healthcare Inc,NXGN.O,George H. Bristol,70,Independent Director,2008,
Nextgen Healthcare Inc,NXGN.O,James C. Malone,70,Independent Director,2013,
Nextgen Healthcare Inc,NXGN.O,James R. Arnold,62,"Chief Financial Officer, Executive Vice President",2016,
Nextgen Healthcare Inc,NXGN.O,Jeffrey D. Linton,55,"Executive Vice President, General Counsel, Secretary",2017,
Nextgen Healthcare Inc,NXGN.O,Jeffrey H. Margolis,56,Independent Chairman of the Board,2015,
Nextgen Healthcare Inc,NXGN.O,John R. Frantz,52,"President, Chief Executive Officer, Director",2016,
Nextgen Healthcare Inc,NXGN.O,Julie D. Klapstein,64,Independent Director,2017,
Nextgen Healthcare Inc,NXGN.O,Lance Rosenzweig,56,Independent Director,2012,
Nextgen Healthcare Inc,NXGN.O,Morris Panner,56,Independent Director,2013,
Nextgen Healthcare Inc,NXGN.O,Sheldon Razin,81,Chairman Emeritus and Independent Director,2015,
NGM Biopharmaceuticals Inc,NGM.O,Aetna Wun Trombley,39,"President, Chief Operating Officer",2018,
NGM Biopharmaceuticals Inc,NGM.O,Alex M. DePaoli,,Vice President - Clinical Research,,
NGM Biopharmaceuticals Inc,NGM.O,David J. Woodhouse,48,"Chief Executive Officer, Acting Chief Financial Officer, Director",2018,
NGM Biopharmaceuticals Inc,NGM.O,David Schnell,55,Independent Director,2018,
NGM Biopharmaceuticals Inc,NGM.O,David V. Goeddel,68,lead independent director,2018,
NGM Biopharmaceuticals Inc,NGM.O,Hui Tian,,Vice President - Research,,
NGM Biopharmaceuticals Inc,NGM.O,Jin-Long Chen,56,"Founder, Chief Scientific Officer, Director",,
NGM Biopharmaceuticals Inc,NGM.O,Marc Learned,,"Executive Director, Research Operations",,
NGM Biopharmaceuticals Inc,NGM.O,Mark Leschly,50,Independent Director,2018,
NGM Biopharmaceuticals Inc,NGM.O,McHenry T. Tichenor,63,Independent Director,2018,
NGM Biopharmaceuticals Inc,NGM.O,Peter Svennilson,57,Director,2018,
NGM Biopharmaceuticals Inc,NGM.O,Shelly D. Guyer,58,Independent Director,2019,
NGM Biopharmaceuticals Inc,NGM.O,Suzanne Sawochka Hooper,53,Independent Director,2018,
NGM Biopharmaceuticals Inc,NGM.O,Valerie L. Pierce,,"Senior Vice President, Chief Compliance Officer, General Counsel",2019,
NGM Biopharmaceuticals Inc,NGM.O,Wenyan Shen,,Vice President - Biologics,,
NGM Biopharmaceuticals Inc,NGM.O,William J. Rieflin,58,Executive Chairman of the Board of Directors,2018,
NIC Inc.,EGOV.O,Alexander C. Kemper,53,Independent Director,2007,
NIC Inc.,EGOV.O,Anthony Scott,66,Independent Director,2018,
NIC Inc.,EGOV.O,Art N. Burtscher,68,Lead Independent Director,2018,
NIC Inc.,EGOV.O,Brian Anderson,,Chief Technology Officer,2019,
NIC Inc.,EGOV.O,C. Brad Henry,55,Independent Director,2011,
NIC Inc.,EGOV.O,Harry H. Herington,59,"Chairman of the Board, Chief Executive Officer",2008,
NIC Inc.,EGOV.O,Jayaprakash Vijayan,46,Independent Director,2018,
NIC Inc.,EGOV.O,Jayne Friedland Holland,55,Chief Security Officer,2015,
NIC Inc.,EGOV.O,Peter B. Wilson,85,Independent Director,1999,
NIC Inc.,EGOV.O,Robert W. Knapp,50,Chief Operating Officer,2012,
NIC Inc.,EGOV.O,Stephen M. Kovzan,50,Chief Financial Officer,2007,
NIC Inc.,EGOV.O,Venmal Arasu,49,Independent Director,2015,
NIC Inc.,EGOV.O,William A. Van Asselt,44,"General Counsel, Secretary",2016,
NIC Inc.,EGOV.O,William M. Lyons,63,Independent Director,2009,
Nicolet Bankshares Inc,NCBS.O,Andrew F. Hetzel,62,Director,2001,
Nicolet Bankshares Inc,NCBS.O,Ann Kuchera Lawson,58,Chief Financial Officer,2009,
Nicolet Bankshares Inc,NCBS.O,Brad Vincent Hutjens,37,"Executive Vice President, Chief Credit Officer, and Chief Compliance & Risk Manager",2003,
Nicolet Bankshares Inc,NCBS.O,Christopher J. Ghidorzi,41,Director,2013,
Nicolet Bankshares Inc,NCBS.O,Donald J. Long,61,Director,2000,
Nicolet Bankshares Inc,NCBS.O,Dustin J. McClone,36,Director,,
Nicolet Bankshares Inc,NCBS.O,Eric James Witczak,48,Executive Vice President,2000,
Nicolet Bankshares Inc,NCBS.O,John Nicholas Dykema,55,Independent Director,2006,
Nicolet Bankshares Inc,NCBS.O,Michael E. Daniels,54,"Executive Vice President, Secretary, Director",2002,
Nicolet Bankshares Inc,NCBS.O,Michael Joseph Steppe,59,"Senior Vice President, Chief Investment Officer",2008,
Nicolet Bankshares Inc,NCBS.O,Michael Joseph Vogel,50,Senior Vice President and Commercial Banking Manager,2003,
Nicolet Bankshares Inc,NCBS.O,Oliver Smith,35,Director,,
Nicolet Bankshares Inc,NCBS.O,Patrick Joseph Madson,38,Senior Vice President – Wealth Management,2016,
Nicolet Bankshares Inc,NCBS.O,Rachel Francis Campos-Duffy,47,Director,2019,
Nicolet Bankshares Inc,NCBS.O,Randy James Rose,64,Director,2011,
Nicolet Bankshares Inc,NCBS.O,Robert B. Atwell,61,"Chairman of the Board, President, Chief Executive Officer",2016,
Nicolet Bankshares Inc,NCBS.O,Robert J. Weyers,54,Director,2000,
Nicolet Bankshares Inc,NCBS.O,Susan L. Merkatoris,55,Director,2003,
Nicolet Bankshares Inc,NCBS.O,Terrence R. Fulwiler,68,Director,2016,
Nielsen Holdings PLC,NLSN.A,Christopher Taft,,"Chief Accounting Officer, Controller",2019,
Nielsen Holdings PLC,NLSN.A,David L. Rawlinson,44,Non-Executive Independent Director,2017,
Nielsen Holdings PLC,NLSN.A,David W. Kenny,57,"Chief Executive Officer, Director",2018,
Nielsen Holdings PLC,NLSN.A,George D. Callard,55,Chief Legal Officer,2019,
Nielsen Holdings PLC,NLSN.A,Giovanni Tavolieri,49,Chief Technology and Operations Officer,2017,
Nielsen Holdings PLC,NLSN.A,Guerrino De Luca,66,Non-Executive Independent Director,2017,
Nielsen Holdings PLC,NLSN.A,Harish M. Manwani,66,Non-Executive Independent Director,2015,
Nielsen Holdings PLC,NLSN.A,James A. Attwood,61,Independent Chairman of the Board,2018,
Nielsen Holdings PLC,NLSN.A,Javier G. Teruel,69,Non-Executive Independent Director,2011,
Nielsen Holdings PLC,NLSN.A,Karen M. Hoguet,62,Non-Executive Independent Director,2011,
Nielsen Holdings PLC,NLSN.A,Lauren Zalaznick,56,Non-Executive Independent Director,2016,
Nielsen Holdings PLC,NLSN.A,Laurie Lovett,,Chief Human Resource Officer,2020,
Nielsen Holdings PLC,NLSN.A,Nancy Tellem,,Director,2019,
Nielsen Holdings PLC,NLSN.A,Robert C. Pozen,72,Non-Executive Independent Director,2011,
Nike Inc,NKE,Alan B. Graf,65,Independent Director,2014,
Nike Inc,NKE,Andrew M. Campion,48,"Chief Financial Officer, Executive Vice President",2015,
Nike Inc,NKE,Cathleen A. Benko,61,Independent Director,2018,
Nike Inc,NKE,Chris L. Abston,55,"Vice President, Corporate Controller",2015,
Nike Inc,NKE,Elizabeth J. Comstock,58,Independent Director,2011,
Nike Inc,NKE,Elliott Hill,55,President - Consumer and Marketplace,2018,
Nike Inc,NKE,Eric D. Sprunk,55,Chief Operating Officer,2013,
Nike Inc,NKE,Hilary K. Krane,55,"Executive Vice President, Chief Administrative Officer, General Counsel",2013,
Nike Inc,NKE,John F. Slusher,50,Executive Vice President - Global Sports Marketing,2013,
Nike Inc,NKE,John Graham Connors,60,Independent Director,2005,
Nike Inc,NKE,John Joseph Donahoe,59,"President, Chief Executive Officer, Director",2020,
Nike Inc,NKE,John R. Thompson,77,Independent Director,2019,
Nike Inc,NKE,John W. Rogers,61,Independent Director,2018,
Nike Inc,NKE,Mark G. Parker,64,Executive Chairman of the Board,2020,
Nike Inc,NKE,Michelle A. Peluso,47,Independent Director,2014,
Nike Inc,NKE,Monique S. Matheson,52,Executive Vice President - Global Human Resources,2017,
Nike Inc,NKE,Peter B. Henry,49,Independent Director,2018,
Nike Inc,NKE,Thasunda Brown Duckett,46,Director,2019,
Nike Inc,NKE,Timothy D. Cook,59,Lead Independent Director,2016,
Nike Inc,NKE,Travis A. Knight,45,Director,2015,
Nine Energy Service Inc,NINE.A,Andrew Lyndon Waite,58,Independent Director,2017,
Nine Energy Service Inc,NINE.A,Ann G. Fox,42,"President, Chief Executive Officer, Director",,
Nine Energy Service Inc,NINE.A,Clinton W. Roeder,48,Senior Vice President and Chief Financial Officer,2017,
Nine Energy Service Inc,NINE.A,Curtis F. Harrell,55,Independent Director,2017,
Nine Energy Service Inc,NINE.A,Darryl Keith Willis,49,Independent Director,2018,
Nine Energy Service Inc,NINE.A,David C. Baldwin,56,Independent Director,2017,
Nine Energy Service Inc,NINE.A,David Crombie,45,"Chief Operating Officer, Executive Vice President",2019,
Nine Energy Service Inc,NINE.A,Edward Bruce Morgan,51,President - Production Solutions,,
Nine Energy Service Inc,NINE.A,Ernie L. Danner,64,Chairman of the Board,,
Nine Energy Service Inc,NINE.A,Gary L. Thomas,69,Independent Director,2017,
Nine Energy Service Inc,NINE.A,Mark E. Baldwin,65,Independent Director,2013,
Nine Energy Service Inc,NINE.A,Scott E. Schwinger,54,Independent Director,2017,
Nine Energy Service Inc,NINE.A,Steven Brett Luz,42,Chief Accounting Officer,2018,
Nine Energy Service Inc,NINE.A,Theodore Robert Moore,41,"Senior Vice President, General Counsel, Secretary",2019,
NiSource Inc.,NI,Aristides S. Candris,67,Independent Director,2012,
NiSource Inc.,NI,Carolyn Y. Woo,65,Independent Director,1998,
NiSource Inc.,NI,Carrie J. Hightman,61,"Chief Legal Officer, Executive Vice President",2007,
NiSource Inc.,NI,Deborah A. P. Hersman,,Director,2019,
NiSource Inc.,NI,Deborah Ann Henretta,57,Independent Director,2015,
NiSource Inc.,NI,Donald Eugene Brown,47,"Chief Financial Officer, Executive Vice President",2016,
NiSource Inc.,NI,Eric L. Butler,58,Independent Director,2017,
NiSource Inc.,NI,Joseph Hamrock,55,"President, Chief Executive Officer, Director",2016,
NiSource Inc.,NI,Kevin T. Kabat,62,Chairman of the Board,2019,
NiSource Inc.,NI,Michael E. Jesanis,62,Independent Director,2008,
NiSource Inc.,NI,Nick Drew,,Director of Investor Relations & finance,2019,
NiSource Inc.,NI,Pablo A. Vegas,45,"Executive Vice President and President, Gas Utilities",2019,
NiSource Inc.,NI,Peter A. Altabef,59,Independent Director,2017,
NiSource Inc.,NI,Peter T. Disser,50,"Chief Operating Officer, Vice President - Internal Audit,",2019,
NiSource Inc.,NI,Randy Hulen,,"Vice President - Investor Relations, Treasurer",2019,
NiSource Inc.,NI,Suzanne K. Surface,52,Chief Services Officer of NiSource,2019,
NiSource Inc.,NI,Theodore H. Bunting,60,Director,2018,
NiSource Inc.,NI,Violet G. Sistovaris,57,Executive Vice President; President of NIPSCO,2016,
NiSource Inc.,NI,Wayne S. DeVeydt,49,Independent Director,2016,
NL Industries Inc,NL,Amy Allbach Samford,44,"Vice President, Controller",2016,
NL Industries Inc,NL,Andrew B. Nace,54,Executive Vice President,2017,
NL Industries Inc,NL,Bryan A. Hanley,38,"Vice President, Treasurer",2017,
NL Industries Inc,NL,Cecil H. Moore,79,Independent Director,2003,
NL Industries Inc,NL,Clarence B. Brown,50,"Vice President, Associate General Counsel, Secretary",2017,
NL Industries Inc,NL,Courtney J. Riley,53,President,2017,
NL Industries Inc,NL,John E. Harper,57,Independent Director,2016,
NL Industries Inc,NL,John R. Powers,46,"Vice President, General Counsel",2017,
NL Industries Inc,NL,Kelly D. Luttmer,55,"Executive Vice President, Chief Tax Officer",2016,
NL Industries Inc,NL,Loretta J. Feehan,63,Independent Director,2017,
NL Industries Inc,NL,Meredith W. Mendes,60,Independent Director,2018,
NL Industries Inc,NL,Robert D. Graham,63,"Chief Executive Officer, Vice Chairman of the Board",2017,
NL Industries Inc,NL,Steven S. Eaton,60,"Vice President, Director of Internal Control over Financial Reporting",2015,
NL Industries Inc,NL,Thomas P. Stafford,88,Independent Director,2000,
Nlight Inc,LASR.O,Bandel L. Carano,57,Independent Director,2001,
Nlight Inc,LASR.O,Bill E. Gossman,57,Director,2016,
Nlight Inc,LASR.O,Douglas C. Carlisle,62,Independent Director,2001,
Nlight Inc,LASR.O,Gary F. Locke,69,Independent Director,2017,
Nlight Inc,LASR.O,Geoffrey A. Moore,72,Independent Director,2012,
Nlight Inc,LASR.O,Ran Bareket,52,Chief Financial Officer,2018,
Nlight Inc,LASR.O,Raymond A. Link,65,Independent Director,2010,
Nlight Inc,LASR.O,Robert Martinsen,57,Chief Technology Officer,2013,
Nlight Inc,LASR.O,Scott H. Keeney,54,"Chairman of the Board, President, Chief Executive Officer",2018,
NMI Holdings Inc,NMIH.O,Adam S. Pollitzer,40,Chief Financial Officer,2017,
NMI Holdings Inc,NMIH.O,Bradley M. Shuster,64,"Executive Chairman of the Board, Director",2019,
NMI Holdings Inc,NMIH.O,Claudia J. Merkle,60,"President, Chief Executive Officer, Director",2019,
NMI Holdings Inc,NMIH.O,James G. Jones,70,Independent Director,2012,
NMI Holdings Inc,NMIH.O,James H. Ozanne,75,Independent Director,2012,
NMI Holdings Inc,NMIH.O,Michael Embler,54,Independent Director,2012,
NMI Holdings Inc,NMIH.O,Michael Montgomery,63,Independent Director,2012,
NMI Holdings Inc,NMIH.O,Patrick L. Mathis,58,"Chief Operating Officer, Executive Vice President",2018,
NMI Holdings Inc,NMIH.O,Regina Muehlhauser,70,Independent Director,2017,
NMI Holdings Inc,NMIH.O,Steven L. Scheid,65,Lead Independent Director,2012,
NMI Holdings Inc,NMIH.O,William J. Leatherberry,48,"Executive Vice President, Chief Legal Officer General Counsel, Secretary",2014,
"NN, Inc.",NNBR.O,Christina E. Carroll,53,Independent Director,2019,
"NN, Inc.",NNBR.O,Christopher J. Qualters,51,Executive Vice President of Life Sciences,2019,
"NN, Inc.",NNBR.O,D. Gail Nixon,48,"Chief Human Resource Officer, Senior Vice President",2018,
"NN, Inc.",NNBR.O,David K. Floyd,58,Independent Director,2016,
"NN, Inc.",NNBR.O,David L. Pugh,70,Independent Director,2016,
"NN, Inc.",NNBR.O,J. Robert Atkinson,38,Executive Vice President - Life Sciences group,2018,
"NN, Inc.",NNBR.O,Jeri J. Harman,61,Independent Director,2019,
"NN, Inc.",NNBR.O,Matthew S. Heiter,59,"Senior Vice President, General Counsel",2015,
"NN, Inc.",NNBR.O,Michael Felcher,46,"Chief Accounting Officer, Vice President",2019,
"NN, Inc.",NNBR.O,Raynard D. Benvenuti,63,Independent Director,2020,
"NN, Inc.",NNBR.O,Robert E. Brunner,62,Independent Non-Executive Chairman of the Board,2017,
"NN, Inc.",NNBR.O,Steven T. Warshaw,70,Independent Director,1997,
"NN, Inc.",NNBR.O,Thomas D. DeByle,59,"Chief Financial Officer, Senior Vice President",2019,
"NN, Inc.",NNBR.O,Tom H. Wilson,58,Independent Director,2019,
"NN, Inc.",NNBR.O,Warren A. Veltman,58,Interim President and Chief Executive Officer,2019,
Noble Corporation PLC,NE,Gordon T. Hall,59,Lead Independent Director,2014,
Noble Corporation PLC,NE,Jon A. Marshall,67,Independent Director,2009,
Noble Corporation PLC,NE,Julie H. Edwards,60,Independent Director,2006,
Noble Corporation PLC,NE,Julie J. Robertson,63,"Chairman of the Board, President, Chief Executive Officer",2018,
Noble Corporation PLC,NE,Laura D. Campbell,46,"Vice President, Controller",2018,
Noble Corporation PLC,NE,Mary P. Ricciardello,63,Independent Director,2003,
Noble Corporation PLC,NE,Robert W. Eifler,39,"Vice President, General Manager - Marketing and Contracts",2017,
Noble Corporation PLC,NE,Roger W. Jenkins,57,Independent Director,2018,
Noble Corporation PLC,NE,Scott D. Josey,61,Independent Director,2014,
Noble Corporation PLC,NE,Scott W. Marks,59,Senior Vice President - Engineering,2007,
Noble Corporation PLC,NE,Stephen M. Butz,47,"Chief Financial Officer, Executive Vice President",2019,
Noble Corporation PLC,NE,William E. Turcotte,55,"Senior Vice President, General Legal Counsel",2008,
"Noble Energy, Inc.",NBL.O,Andrea Lee Robison,60,"Senior Vice President, Human Resources and Administrative",2013,
"Noble Energy, Inc.",NBL.O,Barbara J. Duganier,60,Independent Director,2018,
"Noble Energy, Inc.",NBL.O,Brent J. Smolik,57,"President, Chief Operating Officer",2018,
"Noble Energy, Inc.",NBL.O,David L. Stover,61,"Chairman of the Board, Chief Executive Officer",2018,
"Noble Energy, Inc.",NBL.O,Edward F. Cox,71,Independent Director,1984,
"Noble Energy, Inc.",NBL.O,Holli C. Ladhani,48,Director,2017,
"Noble Energy, Inc.",NBL.O,James E. Craddock,60,Independent Director,2015,
"Noble Energy, Inc.",NBL.O,Jeffrey L. Berenson,68,Independent Director,2005,
"Noble Energy, Inc.",NBL.O,John Keith Elliott,61,"Senior Vice President, Eastern Mediterranean",2013,
"Noble Energy, Inc.",NBL.O,John T. Lewis,62,Senior Vice President - Corporate Development,2013,
"Noble Energy, Inc.",NBL.O,Kenneth M. Fisher,58,"Chief Financial Officer, Executive Vice President",2014,
"Noble Energy, Inc.",NBL.O,Martha B. Wyrsch,61,Director,2019,
"Noble Energy, Inc.",NBL.O,Michael A. Cawley,71,Lead Independent Director,2001,
"Noble Energy, Inc.",NBL.O,Molly K. Williamson,72,Independent Director,2013,
"Noble Energy, Inc.",NBL.O,Rachel G. Clingman,53,"Senior Vice President, General Counsel, Secretary",2018,
"Noble Energy, Inc.",NBL.O,Scott D. Urban,65,Independent Director,2007,
"Noble Energy, Inc.",NBL.O,Terry R. Gerhart,57,"Senior Vice President, Midstream",2015,
"Noble Energy, Inc.",NBL.O,Thomas H. Walker,49,Senior Vice President - U.S. Onshore,2018,
"Noble Energy, Inc.",NBL.O,Thomas J. Edelman,68,Independent Director,2005,
"Noble Energy, Inc.",NBL.O,William T. Van Kleef,67,Independent Director,2005,
Noodles & Co,NDLS.O,Andrew C. Taub,50,Independent Director,2010,
Noodles & Co,NDLS.O,Andrew H. Madsen,62,Independent Director,2017,
Noodles & Co,NDLS.O,Brad West,61,Executive Vice President - Operations,2017,
Noodles & Co,NDLS.O,Dave James Boennighausen,41,"Chief Executive Officer, Director",2017,
Noodles & Co,NDLS.O,Elisa Schreiber,,Independent Director,2019,
Noodles & Co,NDLS.O,Jeffrey W. Jones,57,Lead Independent Chairman of the Board,2019,
Noodles & Co,NDLS.O,Kathy Rae Lockhart,54,"Vice President, Controller",2006,
Noodles & Co,NDLS.O,Ken Kuick,50,Chief Financial Officer,2018,
Noodles & Co,NDLS.O,Mary C. Egan,51,Independent Director,2017,
Noodles & Co,NDLS.O,Melissa M. Heidman,51,"Executive Vice President, General Counsel, Secretary",2018,
Noodles & Co,NDLS.O,Robert M. Hartnett,67,Director,2017,
Noodles & Co,NDLS.O,Stacey Pool,43,Chief Marketing Officer,2019,
Nordic American Tanker Ltd,NAT,Alexander Hansson,,Director,2019,
Nordic American Tanker Ltd,NAT,Andreas Ove Ugland,63,Independent Vice Chairman of the Board,1997,
Nordic American Tanker Ltd,NAT,Bjorn Giaever,51,"Chief Financial Officer, Secretary",2017,
Nordic American Tanker Ltd,NAT,David Workman,,Director,2019,
Nordic American Tanker Ltd,NAT,Herbjorn Hansson,71,"Chairman of the Board, President, Chief Executive Officer",1995,
Nordic American Tanker Ltd,NAT,Jan Erik Langangen,68,Director,2010,
Nordic American Tanker Ltd,NAT,Jim Kelly,65,Independent Director,2010,
Nordic American Tanker Ltd,NAT,Richard H. K. Vietor,73,Director,2007,
Nordson Corporation,NDSN.O,Arthur L. George,58,Independent Director,2012,
Nordson Corporation,NDSN.O,Frank M. Jaehnert,62,Independent Director,2012,
Nordson Corporation,NDSN.O,Gina Brickley Beredo,45,"Executive Vice President, General Counsel, Secretary",2018,
Nordson Corporation,NDSN.O,Ginger M. Jones,54,Independent Director,2019,
Nordson Corporation,NDSN.O,Gregory A. Thaxton,58,"Chief Financial Officer, Executive Vice President",2018,
Nordson Corporation,NDSN.O,Gregory P. Merk,48,Executive Vice President,2018,
Nordson Corporation,NDSN.O,James E. DeVries,60,Executive Vice President,2017,
Nordson Corporation,NDSN.O,Jeffrey A. Pembroke,52,Executive Vice President,2018,
Nordson Corporation,NDSN.O,John J. Keane,58,Executive Vice President,2018,
Nordson Corporation,NDSN.O,Joseph P. Keithley,71,Independent Director,2018,
Nordson Corporation,NDSN.O,Joseph Stockunas,59,Executive Vice President,2018,
Nordson Corporation,NDSN.O,Lee C. Banks,57,Independent Director,2010,
Nordson Corporation,NDSN.O,Mary G. Puma,62,Independent Director,2001,
Nordson Corporation,NDSN.O,Michael J. Merriman,63,Independent Chairman of the Board,2018,
Nordson Corporation,NDSN.O,Randolph W. Carson,69,Independent Director,2009,
Nordson Corporation,NDSN.O,Shelly M. Peet,54,Executive Vice President,2018,
Nordson Corporation,NDSN.O,Stephen P. Lovass,50,Executive Vice President,2017,
Nordson Corporation,NDSN.O,Sundaram Nagarajan,57,"President, Chief Executive Officer, Director",2019,
Nordson Corporation,NDSN.O,Victor L. Richey,62,Independent Director,2010,
"Nordstrom, Inc.",JWN,Anne L. Bramman,51,Chief Financial Officer,2020,
"Nordstrom, Inc.",JWN,Brad D. Smith,55,Independent Director,2013,
"Nordstrom, Inc.",JWN,Bradley D. Tilden,58,Independent Director,2016,
"Nordstrom, Inc.",JWN,Brian Kevin Turner,54,Independent Director,2010,
"Nordstrom, Inc.",JWN,Christine F. Deputy,53,Chief Human Resource Officer,2015,
"Nordstrom, Inc.",JWN,Edmond Mesrobian,58,Chief Technology Officer,2018,
"Nordstrom, Inc.",JWN,Erik B. Nordstrom,55,"Co-President, Director",2015,
"Nordstrom, Inc.",JWN,Geevy S. K. Thomas,54,President,2018,
"Nordstrom, Inc.",JWN,Glenda G. McNeal,58,Independent Director,2019,
"Nordstrom, Inc.",JWN,Gordon A. Smith,60,Independent Director,2016,
"Nordstrom, Inc.",JWN,James F. Nordstrom,46,President - Stores,2018,
"Nordstrom, Inc.",JWN,Kenneth J. Worzel,54,Chief Operating Officer,2019,
"Nordstrom, Inc.",JWN,Kirsten A. Green,47,Independent Director,2019,
"Nordstrom, Inc.",JWN,Michael W. Maher,46,Chief Accounting Officer,2020,
"Nordstrom, Inc.",JWN,Peter E. Nordstrom,57,"Co-President, Director",2015,
"Nordstrom, Inc.",JWN,Robert B. Sari,63,General Counsel and Corporate Secretary,2018,
"Nordstrom, Inc.",JWN,Scott A. Meden,56,Chief Marketing Officer,2018,
"Nordstrom, Inc.",JWN,Shellye L. Archambeau,56,Independent Director,2015,
"Nordstrom, Inc.",JWN,Stacy Brown Philpot,43,Independent Director,2017,
"Nordstrom, Inc.",JWN,Tanya L. Domier,53,Independent Director,2016,
"Nordstrom, Inc.",JWN,Teri Bariquit,,Chief Merchandising Officer,2019,
Norfolk Southern Corp.,NSC,Alan H. Shaw,51,"Executive Vice President, Chief Marketing Officer",2015,
Norfolk Southern Corp.,NSC,Amy E. Miles,52,Independent Director,2014,
Norfolk Southern Corp.,NSC,Anne Melaragni,,Vice President of Human Resources,2019,
Norfolk Southern Corp.,NSC,Annie Adams Adams,,Executive Vice President and Chief Transformation Officer,2019,
Norfolk Southern Corp.,NSC,Claude Mongeau,57,Director,2019,
Norfolk Southern Corp.,NSC,Daniel A. Carp,71,Independent Director,2006,
Norfolk Southern Corp.,NSC,Edward F. Boyle,,Vice President - Engineering,2019,
Norfolk Southern Corp.,NSC,James A. Squires,57,"Chairman of the Board, President, Chief Executive Officer",2015,
Norfolk Southern Corp.,NSC,Jason Andrew Zampi,44,"Vice President, Controller",2018,
Norfolk Southern Corp.,NSC,Jennifer F. Scanlon,52,Independent Director,2018,
Norfolk Southern Corp.,NSC,John Meade Scheib,47,Executive Vice President and Chief Strategy Officer,2019,
Norfolk Southern Corp.,NSC,John R. Thompson,67,Independent Director,2013,
Norfolk Southern Corp.,NSC,Marcela E. Donadio,64,Independent Director,2016,
Norfolk Southern Corp.,NSC,Mark R. George,,"Chief Financial Officer, Executive Vice President",2019,
Norfolk Southern Corp.,NSC,Marque I. Ledoux,,Vice President - Government Affairs,2019,
Norfolk Southern Corp.,NSC,Michael A. Farrell,,Senior Vice President - Operations and Mechanical,2019,
Norfolk Southern Corp.,NSC,Michael D. Lockhart,70,Independent Director,2008,
Norfolk Southern Corp.,NSC,Michael Joseph Wheeler,56,"Chief Operating Officer, Executive Vice President",2016,
Norfolk Southern Corp.,NSC,Mitchell E. Daniels,70,Independent Director,2016,
Norfolk Southern Corp.,NSC,Steven F. Leer,66,Independent Director,1999,
Norfolk Southern Corp.,NSC,Thomas C. Kelleher,61,Independent Director,2019,
Norfolk Southern Corp.,NSC,Thomas D. Bell,69,Independent Director,2010,
Norfolk Southern Corp.,NSC,Thomas W. Schnautz,,Vice President of Advance Train Control,2019,
Norfolk Southern Corp.,NSC,Vanessa Allen Sutherland,,"Senior Vice President - Government Relations, Chief Legal Officer",2019,
"Northern Oil & Gas, Inc.",NOG,Adam A. Dirlam,35,Chief Operating Officer,2020,
"Northern Oil & Gas, Inc.",NOG,Bahram Akradi,57,Lead Independent Chairman of the Board,2018,
"Northern Oil & Gas, Inc.",NOG,Chad W. Allen,37,Chief Financial Officer,2020,
"Northern Oil & Gas, Inc.",NOG,Erik J. Romslo,41,"Secretary, Chief Legal Officer",2020,
"Northern Oil & Gas, Inc.",NOG,Jack E. King,67,Independent Director,2007,
"Northern Oil & Gas, Inc.",NOG,James Evans,,Senior Vice President - Engineering,2020,
"Northern Oil & Gas, Inc.",NOG,Lisa G. Bromiley,46,Independent Director,2007,
"Northern Oil & Gas, Inc.",NOG,Michael A. Frantz,34,Independent Director,2017,
"Northern Oil & Gas, Inc.",NOG,Michael T. Popejoy,65,Independent Director,2017,
"Northern Oil & Gas, Inc.",NOG,Mike Kelly,,Executive Vice President - Finance,2020,
"Northern Oil & Gas, Inc.",NOG,Nicholas L. O'Grady,40,Chief Executive Officer,2020,
"Northern Oil & Gas, Inc.",NOG,Robert Grabb,66,Independent Director,2007,
"Northern Oil & Gas, Inc.",NOG,Roy E. Easley,60,Independent Director,2018,
Northern Trust Corporation,NTRS.O,Aileen B. Blake,51,"Head of Management Reporting, Planning, and Analysis and Finance Operations",2019,
Northern Trust Corporation,NTRS.O,Charles A. Tribbett,63,Independent Director,2005,
Northern Trust Corporation,NTRS.O,David Byron Smith,52,Independent Director,2010,
Northern Trust Corporation,NTRS.O,Dean M. Harrison,64,Independent Director,2015,
Northern Trust Corporation,NTRS.O,Donald Thompson,56,Independent Director,2015,
Northern Trust Corporation,NTRS.O,Jason J. Tyler,48,Chief Financial Officer,2020,
Northern Trust Corporation,NTRS.O,Jay L. Henderson,63,Independent Director,2016,
Northern Trust Corporation,NTRS.O,John W. Rowe,73,Lead Independent Director,2010,
